country,year,land_type,national_yield,world_yield,yield_factor,qscore_2018
"Brunei Darussalam",2014,Infrastructure,0,0,0.254382,3A
Bulgaria,2014,"Crop Land",4.12059,4.74112,0.869118,2A
Bulgaria,2014,"Grazing Land",10.61,6.19,1.71405,2A
Bulgaria,2014,"Marine Fishing Grounds",964,503.836,1.91332,2A
Bulgaria,2014,"Inland Fishing Grounds",0,0,1,2A
Bulgaria,2014,"Forest Land",2.82314,1.81878,1.55221,2A
Bulgaria,2014,Infrastructure,0,0,0.869118,2A
"Burkina Faso",2014,"Crop Land",1.17721,1.59277,0.739099,3A
"Burkina Faso",2014,"Grazing Land",6.38,6.19,1.03069,3A
"Burkina Faso",2014,"Marine Fishing Grounds",0,503.836,0,3A
"Burkina Faso",2014,"Inland Fishing Grounds",0,0,1,3A
"Burkina Faso",2014,"Forest Land",1.0635,1.81878,0.584734,3A
"Burkina Faso",2014,Infrastructure,0,0,0.739099,3A
Burundi,2014,"Crop Land",4.74504,8.05484,0.589092,3A
Burundi,2014,"Grazing Land",18.4,6.19,2.97254,3A
Burundi,2014,"Marine Fishing Grounds",0,503.836,0,3A
Burundi,2014,"Inland Fishing Grounds",0,0,1,3A
Burundi,2014,"Forest Land",0.486457,1.81878,0.267463,3A
Burundi,2014,Infrastructure,0,0,0.589092,3A
Cameroon,2014,"Crop Land",3.93938,5.60679,0.702608,3A
Cameroon,2014,"Grazing Land",14.15,6.19,2.28595,3A
Cameroon,2014,"Marine Fishing Grounds",2158,503.836,4.28314,3A
Cameroon,2014,"Inland Fishing Grounds",0,0,1,3A
Cameroon,2014,"Forest Land",1.43385,1.81878,0.788356,3A
Cameroon,2014,Infrastructure,0,0,0.702608,3A
Canada,2014,"Crop Land",3.08768,3.65572,0.844615,3A
Canada,2014,"Grazing Land",6.77,6.19,1.0937,3A
Canada,2014,"Marine Fishing Grounds",469,503.836,0.930858,3A
Canada,2014,"Inland Fishing Grounds",0,0,1,3A
Canada,2014,"Forest Land",1.28276,1.81878,0.705284,3A
Canada,2014,Infrastructure,0,0,0.844615,3A
"Central African Republic",2014,"Crop Land",2.26271,7.93476,0.285165,3A
"Central African Republic",2014,"Grazing Land",10.98,6.19,1.77383,3A
"Central African Republic",2014,"Marine Fishing Grounds",0,503.836,0,3A
"Central African Republic",2014,"Inland Fishing Grounds",0,0,1,3A
"Central African Republic",2014,"Forest Land",1.99146,1.81878,1.09494,3A
"Central African Republic",2014,Infrastructure,0,0,0.285165,3A
Chad,2014,"Crop Land",1.08233,2.23968,0.483255,3A
Chad,2014,"Grazing Land",4.34,6.19,0.701131,3A
Chad,2014,"Marine Fishing Grounds",0,503.836,0,3A
Chad,2014,"Inland Fishing Grounds",0,0,1,3A
Chad,2014,"Forest Land",1.37747,1.81878,0.75736,3A
Chad,2014,Infrastructure,0,0,0.483255,3A
Chile,2014,"Crop Land",11.9942,8.50536,1.41019,3A
Chile,2014,"Grazing Land",7.57,6.19,1.22294,3A
Chile,2014,"Marine Fishing Grounds",530.133,503.836,1.05219,3A
Chile,2014,"Inland Fishing Grounds",0,0,1,3A
Chile,2014,"Forest Land",3.18633,1.81878,1.7519,3A
Chile,2014,Infrastructure,0,0,1.41019,3A
China,2014,"Crop Land",9.52224,4.37456,2.17673,3A
China,2014,"Grazing Land",5.03,6.19,0.812601,3A
China,2014,"Marine Fishing Grounds",639.043,503.836,1.26836,3A
China,2014,"Inland Fishing Grounds",0,0,1,3A
China,2014,"Forest Land",2.15077,1.81878,1.18253,3A
China,2014,Infrastructure,0,0,2.17673,3A
Colombia,2014,"Crop Land",15.3954,10.8978,1.41271,3A
Colombia,2014,"Grazing Land",18.83,6.19,3.042,3A
Colombia,2014,"Marine Fishing Grounds",623,503.836,1.23651,3A
Colombia,2014,"Inland Fishing Grounds",0,0,1,3A
Colombia,2014,"Forest Land",2.38975,1.81878,1.31393,3A
Colombia,2014,Infrastructure,0,0,1.41271,3A
Congo,2014,"Crop Land",7.29627,17.5695,0.41528,3A
Congo,2014,"Grazing Land",18.15,6.19,2.93215,3A
Congo,2014,"Marine Fishing Grounds",2667,503.836,5.29339,3A
Congo,2014,"Inland Fishing Grounds",0,0,1,3A
Congo,2014,"Forest Land",1.99146,1.81878,1.09494,3A
Congo,2014,Infrastructure,0,0,0.41528,3A
"Congo, Democratic Republic of",2014,"Crop Land",3.82897,8.50711,0.45009,3A
"Congo, Democratic Republic of",2014,"Grazing Land",15.78,6.19,2.54927,3A
"Congo, Democratic Republic of",2014,"Marine Fishing Grounds",3601,503.836,7.14716,3A
"Congo, Democratic Republic of",2014,"Inland Fishing Grounds",0,0,1,3A
"Congo, Democratic Republic of",2014,"Forest Land",1.51351,1.81878,0.832154,3A
"Congo, Democratic Republic of",2014,Infrastructure,0,0,0.45009,3A
"Costa Rica",2014,"Crop Land",22.9728,16.2048,1.41765,3A
"Costa Rica",2014,"Grazing Land",15.48,6.19,2.50081,3A
"Costa Rica",2014,"Marine Fishing Grounds",423,503.836,0.839558,3A
"Costa Rica",2014,"Inland Fishing Grounds",0,0,1,3A
"Costa Rica",2014,"Forest Land",1.59317,1.81878,0.875951,3A
"Costa Rica",2014,Infrastructure,0,0,1.41765,3A
"Côte d'Ivoire",2014,"Crop Land",2.30106,2.15529,1.06763,3A
"Côte d'Ivoire",2014,"Grazing Land",11.96,6.19,1.93215,3A
"Côte d'Ivoire",2014,"Marine Fishing Grounds",774,503.836,1.53621,3A
"Côte d'Ivoire",2014,"Inland Fishing Grounds",0,0,1,3A
"Côte d'Ivoire",2014,"Forest Land",1.27453,1.81878,0.700761,3A
"Côte d'Ivoire",2014,Infrastructure,0,0,1.06763,3A
Croatia,2014,"Crop Land",8.43646,12.9258,0.652686,3A
Croatia,2014,"Grazing Land",12.25,6.19,1.979,3A
Croatia,2014,"Marine Fishing Grounds",465,503.836,0.922919,3A
Croatia,2014,"Inland Fishing Grounds",0,0,1,3A
Croatia,2014,"Forest Land",3.4919,1.81878,1.91991,3A
Croatia,2014,Infrastructure,0,0,0.652686,3A
Cuba,2014,"Crop Land",16.8044,45.5508,0.368916,3A
Cuba,2014,"Grazing Land",4.84,6.19,0.781906,3A
Cuba,2014,"Marine Fishing Grounds",415,503.836,0.82368,3A
Cuba,2014,"Inland Fishing Grounds",0,0,1,3A
Cuba,2014,"Forest Land",1.19487,1.81878,0.656963,3A
Cuba,2014,Infrastructure,0,0,0.368916,3A
"Czech Republic",2014,"Crop Land",7.8904,6.36152,1.24033,3A
"Czech Republic",2014,"Grazing Land",13.44,6.19,2.17124,3A
"Czech Republic",2014,"Marine Fishing Grounds",0,503.836,0,3A
"Czech Republic",2014,"Inland Fishing Grounds",0,0,1,3A
"Czech Republic",2014,"Forest Land",7.02733,1.81878,3.86375,3A
"Czech Republic",2014,Infrastructure,0,0,1.24033,3A
Denmark,2014,"Crop Land",8.89727,6.24226,1.42533,3A
Denmark,2014,"Grazing Land",4.87,6.19,0.786753,3A
Denmark,2014,"Marine Fishing Grounds",1404,503.836,2.78662,3A
Denmark,2014,"Inland Fishing Grounds",0,0,1,3A
Denmark,2014,"Forest Land",5.33333,1.81878,2.93236,3A
Denmark,2014,Infrastructure,0,0,1.42533,3A
Djibouti,2014,"Crop Land",3.17913,1.0362,3.06807,2A
Djibouti,2014,"Grazing Land",1.61,6.19,0.260097,2A
Djibouti,2014,"Marine Fishing Grounds",1566,503.836,3.10815,2A
Djibouti,2014,"Inland Fishing Grounds",0,0,1,2A
Djibouti,2014,"Forest Land",0.486457,1.81878,0.267463,2A
Djibouti,2014,Infrastructure,0,0,3.06807,2A
"Dominican Republic",2014,"Crop Land",12.3817,13.8817,0.891941,3A
"Dominican Republic",2014,"Grazing Land",13.03,6.19,2.10501,3A
"Dominican Republic",2014,"Marine Fishing Grounds",305,503.836,0.605355,3A
"Dominican Republic",2014,"Inland Fishing Grounds",0,0,1,3A
"Dominican Republic",2014,"Forest Land",1.19487,1.81878,0.656963,3A
"Dominican Republic",2014,Infrastructure,0,0,0.891941,3A
Ecuador,2014,"Crop Land",10.4793,11.3205,0.925687,2A
Ecuador,2014,"Grazing Land",12.82,6.19,2.07108,2A
Ecuador,2014,"Marine Fishing Grounds",590.593,503.836,1.17219,2A
Ecuador,2014,"Inland Fishing Grounds",0,0,1,2A
Ecuador,2014,"Forest Land",2.38975,1.81878,1.31393,2A
Ecuador,2014,Infrastructure,0,0,0.925687,2A
"El Salvador",2014,"Crop Land",10.5966,12.4628,0.850259,3A
"El Salvador",2014,"Grazing Land",14.64,6.19,2.3651,3A
"El Salvador",2014,"Marine Fishing Grounds",529,503.836,1.04994,3A
"El Salvador",2014,"Inland Fishing Grounds",0,0,1,3A
"El Salvador",2014,"Forest Land",1.36656,1.81878,0.751358,3A
"El Salvador",2014,Infrastructure,0,0,0.850259,3A
"Equatorial Guinea",2014,"Crop Land",3.54806,15.7994,0.224569,3A
"Equatorial Guinea",2014,"Grazing Land",14.19,6.19,2.29241,3A
"Equatorial Guinea",2014,"Marine Fishing Grounds",996,503.836,1.97683,3A
"Equatorial Guinea",2014,"Inland Fishing Grounds",0,0,1,3A
"Equatorial Guinea",2014,"Forest Land",1.99146,1.81878,1.09494,3A
